sim_category	demography	gtex_n	replicates	causal_min_maf	n_gwas_traits	n_causal_tested	n_gwas_cpip_tested	n_gtex_cpip_tested	fm_filtered	fm_r2	params_source	gwas_mult	gtex_mult	enloc_pow_rcp50	enloc_fp_rcp50	enloc_pow_rcp90	enloc_fp_rcp90	enloc_pow_lcp50	enloc_fp_lcp50	enloc_pow_lcp90	enloc_fp_lcp90	enloc_hit_med_gtex_sigs_rcp50	enloc_hit_med_gtex_sigs_rcp90	enloc_hit_med_gtex_sigs_lcp50	enloc_hit_med_gtex_sigs_lcp90	auc_enloc_50	auc_enloc_90	gwas_cpip_50	gtex_cpip_50	gwas_cpip_90	gtex_cpip_90	gwas_mean_cs_all	gwas_mean_cs_causative	gtex_mean_cs_all	gtex_mean_cs_causative	gwas_median_cs_all	gwas_median_cs_causative	gtex_median_cs_all	gtex_median_cs_causative
E	cattle	500	1	0.01	50	50	50	50	False	0.25	inferred	35	35	31	12	28	6	31	12	28	9	2	1.5	2	2.0	0.69	0.72	49	33	48	23	8.85	10.8	14.67	23.23	3	5.5	8.0	16.0
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	5	5	4	2	2	1	4	2	2	1	1.0	1.0	1.0	1.0	0.52	0.51	7	1	5	1	3.64	7.53	4.04	13.6	2.0	6	2	8
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	5	20	15	2	13	2	15	2	13	2	1	1	1	1	0.63	0.61	7	20	5	15	3.64	7.53	4.93	9.17	2.0	6	3	5.5
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	10	10	11	7	9	3	11	7	10	4	1	1	1	1.0	0.54	0.56	27	8	24	4	4.84	9.09	4.19	9.69	2.0	5	2.0	6
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	15	15	20	7	17	5	20	7	18	4	1.0	1	1.0	1.0	0.63	0.62	35	12	32	10	5.44	9.33	4.78	9.48	3.0	5	3.0	4
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	20	20	28	8	25	7	28	8	25	8	1.0	1	1.0	1	0.7	0.68	44	20	40	15	5.38	9.15	4.93	9.17	3	5	3	5.5
E	cattle	1000	1	0.01	50	50	50	50	False	0.75	inferred	35	35	35	8	34	7	35	8	34	7	1	1.0	1	1.0	0.77	0.77	49	32	47	27	5.32	9.2	4.56	7.97	2.5	5	2.0	5.0
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	5	5	1	11	1	2	1	11	1	2	1	1	1	1	0.4	0.49	7	1	5	1	3.64	7.53	4.02	5.2	2.0	6	2.0	6
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	5	20	12	4	10	2	12	4	10	2	2.0	1.0	2.0	1.0	0.58	0.58	7	11	5	9	3.64	7.53	4.51	5.86	2.0	6	2.0	5.0
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	10	10	6	16	5	4	6	16	5	6	1.5	1	1.5	1	0.4	0.51	27	1	24	1	4.84	9.09	4.23	4.5	2.0	5	2.0	3.5
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	15	15	13	13	10	8	13	13	10	8	2	1.0	2	1.0	0.5	0.52	35	7	32	4	5.44	9.33	4.69	4.81	3.0	5	2	5.0
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	20	20	21	10	18	7	21	10	18	7	2	1.0	2	1.0	0.61	0.61	44	11	40	9	5.38	9.15	4.51	5.86	3	5	2.0	5.0
E	cattle	500	1	0.01	50	50	50	50	False	0.75	inferred	35	35	31	9	30	7	31	9	30	7	1	1.0	1	1.0	0.72	0.73	49	27	47	19	5.32	9.2	4.73	8.62	2.5	5	2.5	5.0
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	5	5	4	10	2	3	5	12	2	3	1.5	1.0	2	1.0	0.44	0.49	10	2	8	1	21.19	29.28	19.1	41.85	12.0	18	13.0	40
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	5	20	18	14	11	11	19	13	12	12	2.0	1	3	1.5	0.54	0.5	10	24	8	20	21.19	29.28	17.46	29.61	12.0	18	11	20
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	10	10	16	18	10	6	16	19	10	6	2.0	1.0	2.0	1.0	0.48	0.54	33	11	27	5	16.59	19.88	18.9	29.33	12.0	16.5	12.5	19
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	15	15	21	19	15	13	22	20	16	17	3	1	3.0	2.0	0.52	0.52	40	18	35	12	15.29	14.91	17.46	27.4	9.5	9	11.0	20.0
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	20	20	30	13	18	13	30	13	20	16	2.0	1.0	2.0	2.0	0.67	0.55	46	24	43	20	14.06	11.48	17.53	29.61	8.5	6.0	11.0	20
E	cattle	1000	1	0.01	50	50	50	50	True	0.25	inferred	35	35	36	10	34	10	37	9	34	10	3.0	2.0	3	2.0	0.76	0.74	49	39	48	32	13.1	10.8	13.78	18.2	7	5.5	8.0	12.5
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	5	5	2	29	1	9	2	29	1	12	3.0	1	3.0	1	0.23	0.42	10	3	8	1	21.19	29.28	20.47	44.86	12.0	18	14.5	32.0
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	5	20	14	22	6	9	14	22	7	14	3.0	2.0	4.5	2	0.42	0.47	10	14	8	10	21.19	29.28	20.32	33.77	12.0	18	13.0	21.5
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	10	10	8	23	7	12	8	23	7	12	2.5	1	3.0	1	0.35	0.45	33	6	27	1	16.59	19.88	19.81	30.89	12.0	16.5	14.0	21
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	15	15	17	25	9	18	17	25	11	22	3	1	3	1	0.42	0.41	40	11	35	6	15.29	14.91	21.76	36.38	9.5	9	13.5	25.0
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	20	20	20	18	15	13	20	20	17	17	3.0	1	3.0	2	0.52	0.52	46	14	43	10	14.06	11.48	20.32	33.77	8.5	6.0	13.0	21.5
E	cattle	500	1	0.01	50	50	50	50	True	0.25	inferred	35	35	31	14	27	14	31	14	27	14	3	2	3	2	0.67	0.63	49	33	48	23	13.1	10.8	16.32	23.2	7	5.5	10.0	16.0
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	5	5	3	5	2	1	3	5	2	2	1	1.0	1	1.0	0.48	0.51	8	1	5	1	4.47	7.8	4.65	13.6	3.0	7.0	2	8
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	5	20	15	7	12	3	15	7	12	3	1	1.0	1	1.0	0.58	0.59	8	20	5	15	4.47	7.8	5.12	9.17	3.0	7.0	3	5.5
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	10	10	11	7	9	3	11	7	9	3	1	1	1	1	0.54	0.56	27	9	24	5	5.47	9.09	4.67	9.69	3.0	5	3	6
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	15	15	19	7	17	4	19	7	17	5	1	1	1	1	0.62	0.63	37	12	32	10	6.15	9.33	5.06	9.48	4	5	3	4
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	20	20	26	9	23	8	26	9	23	8	1.0	1	1.0	1	0.67	0.65	44	20	40	15	6.34	9.15	5.12	9.17	3.5	5	3	5.5
E	cattle	1000	1	0.01	50	50	50	50	True	0.75	inferred	35	35	33	10	32	9	33	10	32	9	2	1.0	2	1.0	0.73	0.73	49	32	47	27	6.38	9.2	4.91	7.97	3.0	5	3.0	5.0
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	5	5	2	9	1	2	2	9	1	2	1.5	1	1.5	1	0.43	0.49	8	1	5	1	4.47	7.8	4.56	5.2	3.0	7.0	2.0	6
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	5	20	11	6	10	3	11	6	10	3	2	1.0	2	1.0	0.55	0.57	8	11	5	9	4.47	7.8	4.88	5.86	3.0	7.0	3	5.0
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	10	10	5	15	4	4	5	15	4	6	1	1.0	1	1.0	0.4	0.5	27	1	24	1	5.47	9.09	4.81	4.5	3.0	5	3.0	3.5
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	15	15	12	15	9	9	12	15	9	9	2.0	1	2.0	1	0.47	0.5	37	7	32	4	6.15	9.33	5.2	4.81	4	5	3.0	5.0
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	20	20	20	11	17	7	20	11	17	7	2.0	1	2.0	1	0.59	0.6	44	11	40	9	6.34	9.15	4.88	5.86	3.5	5	3	5.0
E	cattle	500	1	0.01	50	50	50	50	True	0.75	inferred	35	35	30	9	28	8	30	9	28	8	1.5	1.0	1.5	1.0	0.71	0.7	49	28	47	19	6.38	9.2	5.12	8.62	3.0	5	3.0	5.0
E	cattle	1000	5	0.001	250	224	226	224	True	0.75	params	5	20	79	41	63	18	79	41	63	18	2	1	2	1	0.576	0.59	55	99	36	79	5.2	9.86	4.96	8.65	3.0	6.0	3.0	5.0
E	cattle	500	5	0.001	250	228	226	228	True	0.75	params	5	20	64	40	49	22	64	40	50	21	2.0	1	2.0	1.0	0.548	0.554	55	62	36	37	5.2	9.86	5.0	9.08	3.0	6.0	3	6
