gene_id	gene_biotype
ENSSSCG00000000694	protein_coding
ENSSSCG00000000695	protein_coding
ENSSSCG00000000696	protein_coding
ENSSSCG00000000697	protein_coding
ENSSSCG00000000699	protein_coding
ENSSSCG00000000700	protein_coding
ENSSSCG00000000702	protein_coding
ENSSSCG00000000703	protein_coding
ENSSSCG00000000704	protein_coding
ENSSSCG00000000705	protein_coding
ENSSSCG00000000706	protein_coding
ENSSSCG00000000707	protein_coding
ENSSSCG00000000708	protein_coding
ENSSSCG00000000709	protein_coding
ENSSSCG00000000712	protein_coding
ENSSSCG00000000716	protein_coding
ENSSSCG00000000718	protein_coding
ENSSSCG00000000719	protein_coding
ENSSSCG00000000720	protein_coding
ENSSSCG00000000721	protein_coding
ENSSSCG00000000722	protein_coding
ENSSSCG00000000723	protein_coding
ENSSSCG00000000728	protein_coding
ENSSSCG00000000730	protein_coding
ENSSSCG00000000732	protein_coding
ENSSSCG00000000734	protein_coding
ENSSSCG00000000735	protein_coding
ENSSSCG00000000736	protein_coding
ENSSSCG00000000737	protein_coding
ENSSSCG00000000738	protein_coding
ENSSSCG00000000739	protein_coding
ENSSSCG00000000740	protein_coding
ENSSSCG00000000741	protein_coding
ENSSSCG00000000742	protein_coding
ENSSSCG00000000743	protein_coding
ENSSSCG00000000744	pseudogene
ENSSSCG00000000745	protein_coding
ENSSSCG00000000746	protein_coding
ENSSSCG00000000748	protein_coding
ENSSSCG00000000749	protein_coding
ENSSSCG00000000751	protein_coding
ENSSSCG00000000753	protein_coding
ENSSSCG00000000754	protein_coding
ENSSSCG00000000755	protein_coding
ENSSSCG00000000757	protein_coding
ENSSSCG00000000759	protein_coding
ENSSSCG00000000760	protein_coding
ENSSSCG00000000764	protein_coding
ENSSSCG00000000765	protein_coding
ENSSSCG00000000766	protein_coding
ENSSSCG00000000767	protein_coding
ENSSSCG00000000769	protein_coding
ENSSSCG00000000770	protein_coding
ENSSSCG00000000774	protein_coding
ENSSSCG00000000777	protein_coding
ENSSSCG00000000778	protein_coding
ENSSSCG00000000779	protein_coding
ENSSSCG00000000781	protein_coding
ENSSSCG00000000782	protein_coding
ENSSSCG00000000783	protein_coding
ENSSSCG00000000784	protein_coding
ENSSSCG00000000789	protein_coding
ENSSSCG00000000791	protein_coding
ENSSSCG00000000793	protein_coding
ENSSSCG00000000795	protein_coding
ENSSSCG00000000798	protein_coding
ENSSSCG00000000799	protein_coding
ENSSSCG00000000800	protein_coding
ENSSSCG00000000801	protein_coding
ENSSSCG00000000802	protein_coding
ENSSSCG00000000804	protein_coding
ENSSSCG00000000806	protein_coding
ENSSSCG00000000807	pseudogene
ENSSSCG00000000808	protein_coding
ENSSSCG00000000810	protein_coding
ENSSSCG00000000811	protein_coding
ENSSSCG00000000816	protein_coding
ENSSSCG00000000820	protein_coding
ENSSSCG00000000837	protein_coding
ENSSSCG00000000838	protein_coding
ENSSSCG00000000839	protein_coding
ENSSSCG00000000840	protein_coding
ENSSSCG00000000841	protein_coding
ENSSSCG00000000842	protein_coding
ENSSSCG00000000843	protein_coding
ENSSSCG00000000844	protein_coding
ENSSSCG00000000846	protein_coding
ENSSSCG00000000847	protein_coding
ENSSSCG00000000848	protein_coding
ENSSSCG00000000849	protein_coding
ENSSSCG00000000853	protein_coding
ENSSSCG00000000854	protein_coding
ENSSSCG00000000856	protein_coding
ENSSSCG00000000857	protein_coding
ENSSSCG00000000858	protein_coding
ENSSSCG00000000859	protein_coding
ENSSSCG00000000860	protein_coding
ENSSSCG00000000862	protein_coding
ENSSSCG00000000863	protein_coding
ENSSSCG00000000864	protein_coding
ENSSSCG00000000866	protein_coding
ENSSSCG00000000867	protein_coding
ENSSSCG00000000869	protein_coding
ENSSSCG00000000870	protein_coding
ENSSSCG00000000871	protein_coding
ENSSSCG00000000873	protein_coding
ENSSSCG00000000874	protein_coding
ENSSSCG00000000875	protein_coding
ENSSSCG00000000877	protein_coding
